order_id,order_date,customer_id,region,category,product,quantity,unit_price,unit_cost,discount_pct,revenue,cost,profit,profit_margin
ORD-00164,2025-01-02,CUST-0042,West,Fitness,Yoga Mat,5,34.99,14.0,0.15,148.71,70.0,78.71,0.5293
ORD-00271,2025-01-03,CUST-0134,,Fitness,Water Bottle,1,19.99,6.5,0.05,18.99,6.5,12.49,0.6577
ORD-00028,2025-01-03,CUST-0115,Midwest,Home,Scented Candle,2,19.99,7.5,0.05,37.98,15.0,22.98,0.6051
ORD-00555,2025-01-04,CUST-0118,Midwest,Home,Desk Lamp,3,34.99,16.0,0.2,83.98,48.0,35.98,0.4284
ORD-00150,2025-01-04,CUST-0108,Midwest,Electronics,Portable Charger,2,39.99,18.0,0.0,79.98,36.0,43.98,0.5499
ORD-00136,2025-01-04,CUST-0129,South,Beauty,Makeup Organizer,3,24.99,9.0,0.0,74.97,27.0,47.97,0.6399
ORD-00595,2025-01-05,CUST-0004,West,Home,Desk Lamp,2,34.99,16.0,0.0,69.98,32.0,37.98,0.5427
ORD-00647,2025-01-05,CUST-0080,Midwest,Electronics,Portable Charger,3,39.99,18.0,0.0,119.97,54.0,65.97,0.5499
ORD-00395,2025-01-05,CUST-0129,Midwest,Fitness,Yoga Mat,3,34.99,14.0,0.05,99.72,42.0,57.72,0.5788
ORD-00635,2025-01-05,CUST-0117,South,Home,Throw Blanket,1,44.99,20.0,0.0,44.99,20.0,24.99,0.5555
ORD-00519,2025-01-05,CUST-0109,West,Beauty,Hair Tool,1,69.99,31.0,0.0,69.99,31.0,38.99,0.5571
ORD-00125,2025-01-08,CUST-0147,Midwest,Fitness,Water Bottle,1,19.99,6.5,0.0,19.99,6.5,13.49,0.6748
ORD-00176,2025-01-10,CUST-0067,Northeast,Electronics,Portable Charger,1,39.99,18.0,0.0,39.99,18.0,21.99,0.5499
ORD-00227,2025-01-10,CUST-0029,Northeast,Fitness,Resistance Bands,1,24.99,8.0,0.05,23.74,8.0,15.74,0.663
ORD-00281,2025-01-10,CUST-0025,South,Fitness,Resistance Bands,1,24.99,8.0,0.05,23.74,8.0,15.74,0.663
ORD-00650,2025-01-10,CUST-0044,Midwest,Electronics,Wireless Headphones,5,79.99,42.0,0.0,399.95,210.0,189.95,0.4749
ORD-00292,2025-01-11,CUST-0004,West,Beauty,Body Care Set,3,29.99,11.0,0.0,89.97,33.0,56.97,0.6332
ORD-00085,2025-01-12,CUST-0023,South,Home,Storage Basket,5,24.99,10.0,0.0,124.95,50.0,74.95,0.5998
ORD-00052,2025-01-13,CUST-0007,West,Beauty,Skincare Set,3,54.99,22.0,0.05,156.72,66.0,90.72,0.5789
ORD-00535,2025-01-13,CUST-0092,Northeast,Fitness,Resistance Bands,1,24.99,8.0,0.0,24.99,8.0,16.99,0.6799
ORD-00429,2025-01-14,CUST-0059,South,Electronics,Wireless Headphones,1,79.99,42.0,0.0,79.99,42.0,37.99,0.4749
ORD-00590,2025-01-14,CUST-0122,West,Electronics,Smart Watch,2,129.99,78.0,0.0,259.98,156.0,103.98,0.4
ORD-00620,2025-01-17,CUST-0164,Northeast,Home,Throw Blanket,1,44.99,20.0,0.0,44.99,20.0,24.99,0.5555
ORD-00018,2025-01-19,CUST-0194,Northeast,Home,Desk Lamp,3,34.99,16.0,0.05,99.72,48.0,51.72,0.5187
ORD-00205,2025-01-19,CUST-0154,South,Home,Storage Basket,1,24.99,10.0,0.1,22.49,10.0,12.49,0.5554
ORD-00415,2025-01-20,CUST-0049,South,Electronics,Portable Charger,1,39.99,18.0,0.1,35.99,18.0,17.99,0.4999
ORD-00423,2025-01-21,CUST-0050,West,Beauty,Makeup Organizer,1,24.99,9.0,0.0,24.99,9.0,15.99,0.6399
ORD-00513,2025-01-21,CUST-0114,Midwest,Home,Throw Blanket,1,44.99,20.0,0.05,42.74,20.0,22.74,0.5321
ORD-00239,2025-01-22,CUST-0046,South,Electronics,Smart Watch,3,129.99,78.0,0.1,350.97,234.0,116.97,0.3333
ORD-00424,2025-01-23,CUST-0010,South,Electronics,Bluetooth Speaker,5,59.99,31.0,0.1,269.95,155.0,114.95,0.4258
ORD-00273,2025-01-23,CUST-0022,South,Fitness,Yoga Mat,2,34.99,14.0,0.0,69.98,28.0,41.98,0.5999
ORD-00422,2025-01-23,CUST-0206,Northeast,Beauty,Body Care Set,2,29.99,11.0,0.05,56.98,22.0,34.98,0.6139
ORD-00485,2025-01-23,CUST-0156,South,Electronics,Bluetooth Speaker,2,59.99,31.0,0.0,119.98,62.0,57.98,0.4832
ORD-00568,2025-01-24,CUST-0123,Midwest,Electronics,Wireless Headphones,1,79.99,42.0,0.05,75.99,42.0,33.99,0.4473
ORD-00449,2025-01-25,CUST-0175,Northeast,Beauty,Hair Tool,1,69.99,31.0,0.0,69.99,31.0,38.99,0.5571
